dataset,temperature_mode,eval_horizon,mse_mean,mse_std,mae_mean,mae_std,tau_mean,relative_improvement_pct,H_norm_mean,N_eff_mean
ETTh2,learned_global,336,0.3424433333333334,0.006459507205146036,0.3998966666666666,0.003450280181859623,0.9562333333333334,-0.06,0.9815166666666667,89.60903333333333
ETTh2,learned_global,720,0.4104833333333333,0.009046293900450801,0.43759,0.00474361676360979,0.9562333333333334,-0.03,0.9815933333333332,89.61256666666667
ETTh2,query_conditioned,24,0.2279766666666667,0.005792187266770074,0.3280433333333333,0.0013984396066092043,0.9041333333333332,-0.52,0.9776366666666666,88.58193333333332
ETTh2,query_conditioned,48,0.24816000000000002,0.004901805789706492,0.3420433333333333,0.0013501975164150538,0.9041333333333332,-0.28,0.97856,88.8217
ETTh2,query_conditioned,96,0.2785433333333333,0.004364130306639988,0.36118000000000006,0.0013318032887780242,0.9041333333333332,-0.05,0.97934,89.00016666666666
ETTh2,query_conditioned,192,0.3075833333333333,0.0026858207932275243,0.3802033333333334,0.0007691770494062824,0.9041,0.93,0.97925,88.94813333333333
ETTh2,query_conditioned,336,0.33479333333333333,0.001905002187225335,0.39474000000000004,0.001526302722267163,0.9041,2.18,0.9795733333333333,89.01756666666665
ETTh2,query_conditioned,720,0.3975666666666666,0.004916872312083481,0.4300733333333333,0.0032212782142083383,0.9041,3.12,0.9796466666666667,89.01896666666666
ETTh2,temporal_context,24,0.22798666666666667,0.005790805931244233,0.32805,0.0014029967925836466,0.9013,-0.53,0.9775466666666667,88.55526666666667
ETTh2,temporal_context,48,0.24817,0.004899683663258271,0.34204999999999997,0.0013497036711812016,0.9013,-0.28,0.9784733333333334,88.7949
ETTh2,temporal_context,96,0.2785566666666666,0.0043668791296912705,0.3611866666666667,0.0013315154273734193,0.9013,-0.06,0.9792533333333333,88.97266666666667
ETTh2,temporal_context,192,0.3076033333333333,0.002690619507350193,0.38021666666666665,0.0007711247197006034,0.9013,0.93,0.9791633333333333,88.9218
ETTh2,temporal_context,336,0.3348066666666667,0.001893576862272371,0.39475333333333334,0.0015215890816292412,0.9013333333333332,2.17,0.9794900000000001,88.99220000000001
ETTh2,temporal_context,720,0.39758333333333334,0.00490703916158546,0.4300833333333333,0.0032113911834800537,0.9013666666666666,3.12,0.9795633333333335,88.99303333333334
ETTm1,fixed,24,0.6716000000000001,0.01121664388308733,0.55012,0.004985268297694742,1.0,0.0,0.9655866666666667,85.75439999999999
ETTm1,fixed,48,0.7162799999999999,0.00717605044575357,0.5710099999999999,0.001137673063757772,1.0,0.0,0.9654233333333333,85.6786
ETTm1,fixed,96,0.8815266666666667,0.02090286423754731,0.6269233333333334,0.005060645545119038,1.0,0.0,0.9662166666666666,85.77550000000001
ETTm1,fixed,192,0.9284500000000001,0.01940915248020893,0.6476999999999999,0.00483004140769008,1.0,0.0,0.9669233333333334,85.9371
ETTm1,fixed,336,0.9626333333333333,0.01665809212765174,0.6663333333333333,0.0039400042301161575,1.0,0.0,0.9674766666666667,86.0416
ETTm1,fixed,720,1.0300433333333334,0.019621356562004883,0.7026733333333333,0.004993919636250999,1.0,0.0,0.96823,86.21453333333334
ETTm1,learned_global,24,0.6653600000000001,0.015130803019007313,0.5450266666666667,0.0057233236264720684,0.41713333333333336,0.93,0.94597,79.95836666666666
ETTm1,learned_global,48,0.7170933333333332,0.0085478788791918,0.5672833333333333,0.0049229902836927224,0.41713333333333336,-0.11,0.94595,79.90383333333334
ETTm1,learned_global,96,0.9007533333333333,0.013715164356774385,0.6282733333333334,0.005554856733826104,0.41713333333333336,-2.18,0.9468433333333334,79.99163333333333
ETTm1,learned_global,192,0.94875,0.016955939962148964,0.6498766666666667,0.006388226149200825,0.41713333333333336,-2.19,0.94773,80.1887
ETTm1,learned_global,336,0.9827533333333333,0.018136968691965405,0.6683933333333334,0.006514309889261776,0.41713333333333336,-2.09,0.9483800000000001,80.29950000000001
ETTm1,learned_global,720,1.05115,0.01769220449802692,0.7051033333333333,0.006838467177177442,0.41713333333333336,-2.05,0.9494666666666666,80.5407
ETTm1,query_conditioned,24,0.6655933333333334,0.02978395597185389,0.5451366666666666,0.009382911772649931,0.18173333333333333,0.89,0.9010766666666666,67.2271
