dataset,seed,model_name,temperature_mode,eval_horizon,H_norm,N_eff,max_attention,mean_tau,std_tau,min_tau,max_tau
ETTh1,43,TCD2Vformer_query_conditioned,query_conditioned,48,0.93028,75.3682,0.04088,0.3597,0.026,0.2755,0.5171
ETTh1,43,TCD2Vformer_query_conditioned,query_conditioned,96,0.93113,75.4181,0.04049,0.3599,0.0257,0.2755,0.5171
ETTh1,43,TCD2Vformer_query_conditioned,query_conditioned,192,0.93238,75.6315,0.03945,0.3603,0.0256,0.2755,0.5171
ETTh1,43,TCD2Vformer_query_conditioned,query_conditioned,336,0.93304,75.712,0.03913,0.3606,0.0257,0.2613,0.5329
ETTh1,43,TCD2Vformer_query_conditioned,query_conditioned,720,0.93258,75.5983,0.03936,0.3609,0.0258,0.2613,0.5329
ETTh1,44,TCD2Vformer_query_conditioned,query_conditioned,24,0.84221,57.2533,0.07967,0.2093,0.0326,0.1371,0.4524
ETTh1,44,TCD2Vformer_query_conditioned,query_conditioned,48,0.84399,57.5667,0.07895,0.209,0.0324,0.1371,0.4524
ETTh1,44,TCD2Vformer_query_conditioned,query_conditioned,96,0.84224,57.175,0.08006,0.2086,0.0319,0.1371,0.4524
ETTh1,44,TCD2Vformer_query_conditioned,query_conditioned,192,0.84551,57.6026,0.07822,0.2088,0.032,0.136,0.4524
ETTh1,44,TCD2Vformer_query_conditioned,query_conditioned,336,0.84557,57.5535,0.07819,0.2094,0.0322,0.1347,0.5146
ETTh1,44,TCD2Vformer_query_conditioned,query_conditioned,720,0.84551,57.5557,0.07817,0.2106,0.0322,0.1349,0.5146
ETTh2,42,TCD2Vformer_fixed,fixed,24,0.9833,90.2148,0.01971,1.0,0.0,1.0,1.0
ETTh2,42,TCD2Vformer_fixed,fixed,48,0.98391,90.3984,0.01956,1.0,0.0,1.0,1.0
ETTh2,42,TCD2Vformer_fixed,fixed,96,0.98447,90.5451,0.01938,1.0,0.0,1.0,1.0
ETTh2,42,TCD2Vformer_fixed,fixed,192,0.98432,90.487,0.01918,1.0,0.0,1.0,1.0
ETTh2,42,TCD2Vformer_fixed,fixed,336,0.98454,90.5366,0.01908,1.0,0.0,1.0,1.0
ETTh2,42,TCD2Vformer_fixed,fixed,720,0.98473,90.5769,0.019,1.0,0.0,1.0,1.0
ETTh2,43,TCD2Vformer_fixed,fixed,24,0.98507,90.6487,0.01886,1.0,0.0,1.0,1.0
ETTh2,43,TCD2Vformer_fixed,fixed,48,0.98582,90.8698,0.01864,1.0,0.0,1.0,1.0
ETTh2,43,TCD2Vformer_fixed,fixed,96,0.98626,90.9872,0.01851,1.0,0.0,1.0,1.0
ETTh2,43,TCD2Vformer_fixed,fixed,192,0.98609,90.9162,0.01832,1.0,0.0,1.0,1.0
ETTh2,43,TCD2Vformer_fixed,fixed,336,0.98625,90.9563,0.01824,1.0,0.0,1.0,1.0
ETTh2,43,TCD2Vformer_fixed,fixed,720,0.98608,90.9,0.01833,1.0,0.0,1.0,1.0
ETTh2,44,TCD2Vformer_fixed,fixed,24,0.97489,87.953,0.02343,1.0,0.0,1.0,1.0
ETTh2,44,TCD2Vformer_fixed,fixed,48,0.97596,88.2046,0.02308,1.0,0.0,1.0,1.0
ETTh2,44,TCD2Vformer_fixed,fixed,96,0.97705,88.4399,0.02263,1.0,0.0,1.0,1.0
