dataset,variant,temperature_mode,initial_tau,final_tau,seed,eval_horizon,mse,mae,H_norm,N_eff,N_eff_ratio,max_attention,checksum_verified
exchange,tau0.5,fixed,0.5,0.5,42,48,0.1352,0.2652,0.64411,41.99,0.4374,0.27549,True
exchange,tau0.5,fixed,0.5,0.5,42,96,0.1875,0.31508,0.64348,42.0,0.4375,0.27617,True
exchange,tau0.5,fixed,0.5,0.5,42,192,0.29409,0.40053,0.64263,41.71,0.4345,0.27353,True
exchange,tau0.5,fixed,0.5,0.5,42,336,0.4739,0.51469,0.64786,42.27,0.4403,0.27288,True
exchange,tau0.5,fixed,0.5,0.5,42,720,1.19546,0.83944,0.65084,42.54,0.4431,0.27113,True
exchange,tau0.5,fixed,0.5,0.5,43,24,0.1064,0.2371,0.90914,72.73,0.7576,0.06357,True
exchange,tau0.5,fixed,0.5,0.5,43,48,0.13133,0.26449,0.90934,72.71,0.7574,0.06349,True
exchange,tau0.5,fixed,0.5,0.5,43,96,0.18305,0.31338,0.91062,72.82,0.7586,0.06239,True
exchange,tau0.5,fixed,0.5,0.5,43,192,0.29758,0.40612,0.91302,73.04,0.7609,0.06062,True
exchange,tau0.5,fixed,0.5,0.5,43,336,0.49181,0.52517,0.9172,73.86,0.7693,0.05898,True
exchange,tau0.5,fixed,0.5,0.5,43,720,1.2486,0.86461,0.91755,73.91,0.7699,0.05886,True
exchange,tau0.5,fixed,0.5,0.5,44,24,0.10431,0.23615,0.93754,77.57,0.808,0.04575,True
exchange,tau0.5,fixed,0.5,0.5,44,48,0.1296,0.26398,0.93782,77.61,0.8085,0.04566,True
exchange,tau0.5,fixed,0.5,0.5,44,96,0.18195,0.31263,0.93796,77.53,0.8076,0.04546,True
exchange,tau0.5,fixed,0.5,0.5,44,192,0.29742,0.40525,0.93963,77.8,0.8104,0.04437,True
exchange,tau0.5,fixed,0.5,0.5,44,336,0.49431,0.52671,0.94376,78.76,0.8204,0.04278,True
exchange,tau0.5,fixed,0.5,0.5,44,720,1.24999,0.86477,0.94346,78.73,0.8201,0.04276,True
exchange,tau1.0,fixed,1.0,1.0,42,24,0.1056,0.23458,0.82913,63.5,0.6614,0.12601,True
exchange,tau1.0,fixed,1.0,1.0,42,48,0.12917,0.26233,0.82945,63.5,0.6615,0.12576,True
exchange,tau1.0,fixed,1.0,1.0,42,96,0.18266,0.31411,0.82933,63.52,0.6617,0.12608,True
exchange,tau1.0,fixed,1.0,1.0,42,192,0.29397,0.4034,0.82885,63.19,0.6582,0.12439,True
exchange,tau1.0,fixed,1.0,1.0,42,336,0.48144,0.52083,0.83615,64.11,0.6678,0.12001,True
exchange,tau1.0,fixed,1.0,1.0,42,720,1.21661,0.85178,0.83528,64.12,0.6679,0.12073,True
exchange,tau1.0,fixed,1.0,1.0,43,24,0.10578,0.23726,0.96074,84.53,0.8806,0.03441,True
exchange,tau1.0,fixed,1.0,1.0,43,48,0.13018,0.26434,0.96109,84.58,0.8811,0.03425,True
exchange,tau1.0,fixed,1.0,1.0,43,96,0.18141,0.31316,0.96211,84.76,0.8829,0.03354,True
exchange,tau1.0,fixed,1.0,1.0,43,192,0.2954,0.4054,0.96366,85.01,0.8855,0.03251,True
exchange,tau1.0,fixed,1.0,1.0,43,336,0.48856,0.52345,0.96579,85.53,0.8909,0.03153,True
exchange,tau1.0,fixed,1.0,1.0,43,720,1.23952,0.86147,0.9657,85.53,0.8909,0.03175,True
exchange,tau1.0,fixed,1.0,1.0,44,24,0.10432,0.2364,0.97614,87.93,0.9159,0.02536,True
exchange,tau1.0,fixed,1.0,1.0,44,48,0.12915,0.26392,0.97636,87.99,0.9165,0.0253,True
exchange,tau1.0,fixed,1.0,1.0,44,96,0.1809,0.31247,0.97652,87.98,0.9165,0.0252,True
exchange,tau1.0,fixed,1.0,1.0,44,192,0.29648,0.40518,0.97719,88.15,0.9182,0.02478,True
exchange,tau1.0,fixed,1.0,1.0,44,336,0.49312,0.52622,0.97907,88.7,0.924,0.02401,True
exchange,tau1.0,fixed,1.0,1.0,44,720,1.2459,0.86387,0.97877,88.65,0.9234,0.02409,True
exchange,tau2.0,fixed,2.0,2.0,42,24,0.10557,0.23828,0.97957,89.5,0.9323,0.02357,True
exchange,tau2.0,fixed,2.0,2.0,42,48,0.13017,0.26556,0.97972,89.52,0.9325,0.0235,True
exchange,tau2.0,fixed,2.0,2.0,42,96,0.18189,0.31434,0.98008,89.6,0.9333,0.02328,True
exchange,tau2.0,fixed,2.0,2.0,42,192,0.29674,0.40625,0.98048,89.65,0.9339,0.02288,True
exchange,tau2.0,fixed,2.0,2.0,42,336,0.49139,0.52511,0.98208,90.1,0.9386,0.0221,True
exchange,tau2.0,fixed,2.0,2.0,42,720,1.24147,0.86243,0.98198,90.08,0.9383,0.02224,True
exchange,tau2.0,fixed,2.0,2.0,43,24,0.10465,0.23683,0.98327,90.62,0.944,0.02167,True
exchange,tau2.0,fixed,2.0,2.0,43,48,0.12874,0.26374,0.98355,90.68,0.9446,0.02155,True
exchange,tau2.0,fixed,2.0,2.0,43,96,0.17982,0.31261,0.98421,90.83,0.9462,0.02113,True
exchange,tau2.0,fixed,2.0,2.0,43,192,0.29383,0.40486,0.98502,91.0,0.9479,0.02061,True
exchange,tau2.0,fixed,2.0,2.0,43,336,0.48683,0.52276,0.98601,91.28,0.9508,0.02008,True
exchange,tau2.0,fixed,2.0,2.0,43,720,1.23398,0.85977,0.98583,91.24,0.9505,0.0203,True
exchange,tau2.0,fixed,2.0,2.0,44,24,0.1019,0.23447,0.98076,89.82,0.9357,0.02298,True
exchange,tau2.0,fixed,2.0,2.0,44,48,0.1268,0.26229,0.98101,89.89,0.9363,0.02285,True
exchange,tau2.0,fixed,2.0,2.0,44,96,0.17807,0.31065,0.98101,89.83,0.9357,0.02285,True
exchange,tau2.0,fixed,2.0,2.0,44,192,0.29162,0.40234,0.98152,89.95,0.937,0.02247,True
exchange,tau2.0,fixed,2.0,2.0,44,336,0.48475,0.52167,0.98328,90.45,0.9422,0.02168,True
exchange,tau2.0,fixed,2.0,2.0,44,720,1.23029,0.85755,0.98288,90.39,0.9415,0.02185,True
exchange,tau4.0,fixed,4.0,4.0,42,24,0.10512,0.23767,0.99287,93.42,0.9731,0.01591,True
exchange,tau4.0,fixed,4.0,4.0,42,48,0.12963,0.26495,0.99296,93.44,0.9734,0.01588,True
exchange,tau4.0,fixed,4.0,4.0,42,96,0.18135,0.31386,0.99311,93.49,0.9738,0.01579,True
