dataset,model,regime,seed,train_horizon,eval_horizon,mse,mae,attention_entropy,normalized_attention_entropy,parameter_count,training_time_sec,inference_time_sec,checksum_verified
exchange,PureD2Vformer,Zero-Shot (trained on 48),44,48.0,24,0.10432,0.2364,4.4554,0.9761,44408,15.0,0.442,True
exchange,PureD2Vformer,Zero-Shot (trained on 48),44,48.0,48,0.12915,0.26392,4.4564,0.9764,44408,15.0,0.589,True
exchange,PureD2Vformer,Zero-Shot (trained on 48),44,48.0,96,0.1809,0.31247,4.4583,0.9768,44408,15.0,0.869,True
exchange,PureD2Vformer,Zero-Shot (trained on 48),44,48.0,192,0.29648,0.40518,4.4618,0.9775,44408,15.0,1.368,True
exchange,PureD2Vformer,Zero-Shot (trained on 48),44,48.0,336,0.49312,0.52622,4.469,0.9791,44408,15.0,1.973,True
exchange,PureD2Vformer,Zero-Shot (trained on 48),44,48.0,720,1.2459,0.86387,4.4675,0.9788,44408,15.0,2.597,True
exchange,DLinear,Horizon-Specific Retrained,44,24.0,24,0.03268,0.12151,,,4656,2.68,0.058,True
exchange,DLinear,Horizon-Specific Retrained,44,48.0,48,0.05555,0.16361,,,9312,3.18,0.065,True
exchange,DLinear,Horizon-Specific Retrained,44,96.0,96,0.10162,0.22709,,,18624,2.53,0.061,True
exchange,DLinear,Horizon-Specific Retrained,44,192.0,192,0.22458,0.34916,,,37248,2.61,0.064,True
exchange,DLinear,Horizon-Specific Retrained,44,336.0,336,0.46516,0.49745,,,65184,2.76,0.066,True
exchange,DLinear,Horizon-Specific Retrained,44,720.0,720,1.4661,0.88003,,,139680,1.24,0.057,True
exchange,Repository-D2Vformer,Horizon-Specific Retrained,44,24.0,24,0.08436,0.21234,,,91608,7.95,0.114,True
exchange,Repository-D2Vformer,Horizon-Specific Retrained,44,48.0,48,0.09716,0.22861,,,101280,7.87,0.119,True
exchange,Repository-D2Vformer,Horizon-Specific Retrained,44,96.0,96,0.22656,0.33335,,,127536,5.33,0.12,True
exchange,Repository-D2Vformer,Horizon-Specific Retrained,44,192.0,192,0.27488,0.38972,,,207696,4.26,0.187,True
exchange,Repository-D2Vformer,Horizon-Specific Retrained,44,336.0,336,0.42743,0.48598,,,397056,5.17,0.163,True
exchange,Repository-D2Vformer,Horizon-Specific Retrained,44,720.0,720,1.12782,0.81059,,,1307520,9.9,0.161,True
exchange,Persistence,Non-Learning Control,44,,24,0.03183,0.11562,,,0,0.0,0.046,True
exchange,Persistence,Non-Learning Control,44,,48,0.05479,0.15866,,,0,0.0,0.047,True
exchange,Persistence,Non-Learning Control,44,,96,0.10098,0.22143,,,0,0.0,0.046,True
exchange,Persistence,Non-Learning Control,44,,192,0.20133,0.32222,,,0,0.0,0.047,True
exchange,Persistence,Non-Learning Control,44,,336,0.37634,0.44591,,,0,0.0,0.048,True
exchange,Persistence,Non-Learning Control,44,,720,1.04758,0.77708,,,0,0.0,0.048,True
